{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 21.003, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 22.691, 'thr4': 20.805, 'thr5': 21.102, 'cur0': 0.0, 'cur1': 1.8, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.5, 'cel5': 5.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 21.003, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 22.691, 'thr4': 20.805, 'thr5': 21.102, 'cur0': 0.0, 'cur1': 1.8, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2538, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.904, 'thr3': 22.193, 'thr4': 20.31, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2186}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2538, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.904, 'thr3': 22.193, 'thr4': 20.31, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2186}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2904, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.904, 'thr3': 22.193, 'thr4': 20.31, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2904, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.805, 'thr1': -273.15, 'thr2': 20.904, 'thr3': 22.193, 'thr4': 20.31, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2904, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.805, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 22.492, 'thr4': 20.31, 'thr5': 20.508, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2904, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.805, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 22.492, 'thr4': 20.706, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 1.9, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.0, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3267, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 20.805, 'thr1': -273.15, 'thr2': 21.201, 'thr3': 22.492, 'thr4': 20.706, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 1.8, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2914}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3267, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 21.399, 'thr3': 22.193, 'thr4': 20.706, 'thr5': 20.607, 'cur0': 0.0, 'cur1': 1.8, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2914}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3267, 'x': 179.188, 'y': 0.0, 'z': 172.625, 'watertmp': 24.1, 'depth': 0.1, 'thr0': 21.102, 'thr1': -273.15, 'thr2': 21.399, 'thr3': 22.193, 'thr4': 20.706, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 1.8, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 8.1, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2914}
